languge,age,participant,pronoun,share
ger,20.433333333333334,CHI,1sg,0
ger,20.666666666666668,CHI,1sg,0
ger,21,CHI,1sg,0
ger,21.2,CHI,1sg,0
ger,21.533333333333335,CHI,1sg,0
ger,21.866666666666667,CHI,1sg,0
ger,22.3,CHI,1sg,0
ger,22.6,CHI,1sg,0.001199040767386091
ger,23,CHI,1sg,0
ger,20.066666666666666,CHI,1sg,0
ger,20.2,CHI,1sg,0
ger,20.4,CHI,1sg,0
ger,21.066666666666666,CHI,1sg,0
ger,21.3,CHI,1sg,0
ger,21.633333333333333,CHI,1sg,0
ger,21.866666666666667,CHI,1sg,0
ger,22.4,CHI,1sg,0
ger,22.9,CHI,1sg,0
ger,23.1,CHI,1sg,0
ger,23.433333333333334,CHI,1sg,0
ger,23.633333333333333,CHI,1sg,0
ger,23.766666666666666,CHI,1sg,0
ger,24.333333333333332,CHI,1sg,0
ger,24.533333333333335,CHI,1sg,0
ger,24.766666666666666,CHI,1sg,0.009505703422053232
ger,25.2,CHI,1sg,0
ger,23.4,CHI,1sg,0
ger,23.666666666666668,CHI,1sg,0
ger,23.7,CHI,1sg,0
ger,23.733333333333334,CHI,1sg,0
ger,23.766666666666666,CHI,1sg,0
ger,23.8,CHI,1sg,0
ger,23.833333333333332,CHI,1sg,0
ger,23.866666666666667,CHI,1sg,0.0014265335235378032
ger,23.9,CHI,1sg,0.0039584364176150424
ger,24,CHI,1sg,0
ger,24.033333333333335,CHI,1sg,4.93339911198816e-4
ger,24.066666666666666,CHI,1sg,0.0012634238787113076
ger,24.1,CHI,1sg,0.0017740981667652277
ger,24.133333333333333,CHI,1sg,0
ger,24.166666666666668,CHI,1sg,0.0018773466833541927
ger,24.2,CHI,1sg,0.0016348773841961854
ger,24.233333333333334,CHI,1sg,0.0018999366687777073
ger,24.266666666666666,CHI,1sg,0.0013986013986013986
ger,24.3,CHI,1sg,0.00605245460659045
ger,24.333333333333332,CHI,1sg,0
ger,24.366666666666667,CHI,1sg,0.03571428571428571
ger,24.4,CHI,1sg,0.002807411566535654
ger,24.433333333333334,CHI,1sg,0.002031144211238998
ger,24.466666666666665,CHI,1sg,5.64334085778781e-4
ger,24.5,CHI,1sg,0.002449779519843214
ger,24.533333333333335,CHI,1sg,0.0027901785714285715
ger,24.566666666666666,CHI,1sg,0
ger,24.6,CHI,1sg,0
ger,24.633333333333333,CHI,1sg,0.001483679525222552
ger,24.666666666666668,CHI,1sg,0.0024390243902439024
ger,24.7,CHI,1sg,0.0010758472296933835
ger,24.733333333333334,CHI,1sg,0.0022522522522522522
ger,24.766666666666666,CHI,1sg,0.0049261083743842365
ger,24.8,CHI,1sg,0
ger,24.833333333333332,CHI,1sg,0
ger,24.866666666666667,CHI,1sg,0.002751031636863824
ger,24.9,CHI,1sg,0.004707464694014795
ger,24.933333333333334,CHI,1sg,0.001530612244897959
ger,24.966666666666665,CHI,1sg,0.0026761819803746653
ger,25,CHI,1sg,0
ger,25,CHI,1sg,0
ger,25.033333333333335,CHI,1sg,0
ger,25.066666666666666,CHI,1sg,0
ger,25.1,CHI,1sg,0.002617801047120419
ger,25.133333333333333,CHI,1sg,0.0020435967302452314
ger,25.166666666666668,CHI,1sg,0
ger,25.2,CHI,1sg,0.0054017555705604325
ger,25.233333333333334,CHI,1sg,0
ger,25.266666666666666,CHI,1sg,0
ger,25.3,CHI,1sg,5.640157924421884e-4
ger,25.333333333333332,CHI,1sg,7.363770250368188e-4
ger,25.366666666666667,CHI,1sg,0.001763668430335097
ger,25.4,CHI,1sg,0
ger,25.433333333333334,CHI,1sg,0.0053475935828877
ger,25.466666666666665,CHI,1sg,0
ger,25.5,CHI,1sg,0
ger,25.533333333333335,CHI,1sg,0.0014587892049598833
ger,25.566666666666666,CHI,1sg,0
ger,25.6,CHI,1sg,0.0013623978201634877
ger,25.633333333333333,CHI,1sg,0.0011098779134295228
ger,25.666666666666668,CHI,1sg,0.0018773466833541927
ger,25.7,CHI,1sg,0
ger,25.733333333333334,CHI,1sg,0
ger,25.766666666666666,CHI,1sg,0.003368893879842785
ger,25.8,CHI,1sg,5.512679162072767e-4
ger,25.833333333333332,CHI,1sg,0.0028392958546280523
ger,25.866666666666667,CHI,1sg,9.704027171276079e-4
ger,25.9,CHI,1sg,0.006745362563237774
ger,25.933333333333334,CHI,1sg,0
