"","path","filename","languge","childname","participant","pronoun","24","25","26","27","28","29","30","31","32","33","34","35"
"51","C:\My\studies\UIT\FLA\code\English\Belfast\David\020010.cha","020010.cha","eng","David","CHI","2",0.0214132762312634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","C:\My\studies\UIT\FLA\code\English\Belfast\David\020010.cha","020010.cha","eng","David","CHI","3",0.117773019271949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","C:\My\studies\UIT\FLA\code\English\Belfast\David\020010.cha","020010.cha","eng","David","CHI","3pl",0.012847965738758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","C:\My\studies\UIT\FLA\code\English\Belfast\David\020010.cha","020010.cha","eng","David","CHI","3sgF",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","C:\My\studies\UIT\FLA\code\English\Belfast\David\020010.cha","020010.cha","eng","David","CHI","3sgM",0.0171306209850107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","C:\My\studies\UIT\FLA\code\English\Belfast\David\020010.cha","020010.cha","eng","David","CHI","3sgN",0.0877944325481799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","C:\My\studies\UIT\FLA\code\English\Belfast\David\020101.cha","020101.cha","eng","David","CHI","1pl",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","C:\My\studies\UIT\FLA\code\English\Belfast\David\020101.cha","020101.cha","eng","David","CHI","1sg",NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","C:\My\studies\UIT\FLA\code\English\Belfast\David\020101.cha","020101.cha","eng","David","CHI","2",NA,0.0075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","C:\My\studies\UIT\FLA\code\English\Belfast\David\020101.cha","020101.cha","eng","David","CHI","3",NA,0.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","C:\My\studies\UIT\FLA\code\English\Belfast\David\020101.cha","020101.cha","eng","David","CHI","3pl",NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","C:\My\studies\UIT\FLA\code\English\Belfast\David\020101.cha","020101.cha","eng","David","CHI","3sgF",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","C:\My\studies\UIT\FLA\code\English\Belfast\David\020101.cha","020101.cha","eng","David","CHI","3sgM",NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","C:\My\studies\UIT\FLA\code\English\Belfast\David\020101.cha","020101.cha","eng","David","CHI","3sgN",NA,0.0575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","C:\My\studies\UIT\FLA\code\English\Belfast\David\020122.cha","020122.cha","eng","David","CHI","1pl",NA,0.00303030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","C:\My\studies\UIT\FLA\code\English\Belfast\David\020122.cha","020122.cha","eng","David","CHI","1sg",NA,0.0272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","C:\My\studies\UIT\FLA\code\English\Belfast\David\020122.cha","020122.cha","eng","David","CHI","2",NA,0.0303030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","C:\My\studies\UIT\FLA\code\English\Belfast\David\020122.cha","020122.cha","eng","David","CHI","3",NA,0.0545454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","C:\My\studies\UIT\FLA\code\English\Belfast\David\020122.cha","020122.cha","eng","David","CHI","3pl",NA,0.00606060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","C:\My\studies\UIT\FLA\code\English\Belfast\David\020122.cha","020122.cha","eng","David","CHI","3sgF",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","C:\My\studies\UIT\FLA\code\English\Belfast\David\020122.cha","020122.cha","eng","David","CHI","3sgM",NA,0.00606060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","C:\My\studies\UIT\FLA\code\English\Belfast\David\020122.cha","020122.cha","eng","David","CHI","3sgN",NA,0.0424242424242424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","C:\My\studies\UIT\FLA\code\English\Belfast\David\020219.cha","020219.cha","eng","David","CHI","1pl",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","C:\My\studies\UIT\FLA\code\English\Belfast\David\020219.cha","020219.cha","eng","David","CHI","1sg",NA,NA,0.0257234726688103,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","C:\My\studies\UIT\FLA\code\English\Belfast\David\020219.cha","020219.cha","eng","David","CHI","2",NA,NA,0.0257234726688103,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","C:\My\studies\UIT\FLA\code\English\Belfast\David\020219.cha","020219.cha","eng","David","CHI","3",NA,NA,0.128617363344051,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","C:\My\studies\UIT\FLA\code\English\Belfast\David\020219.cha","020219.cha","eng","David","CHI","3pl",NA,NA,0.0321543408360129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","C:\My\studies\UIT\FLA\code\English\Belfast\David\020219.cha","020219.cha","eng","David","CHI","3sgF",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","C:\My\studies\UIT\FLA\code\English\Belfast\David\020219.cha","020219.cha","eng","David","CHI","3sgM",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","C:\My\studies\UIT\FLA\code\English\Belfast\David\020219.cha","020219.cha","eng","David","CHI","3sgN",NA,NA,0.0964630225080386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","C:\My\studies\UIT\FLA\code\English\Belfast\David\020721.cha","020721.cha","eng","David","CHI","1pl",NA,NA,NA,NA,NA,NA,NA,0.00301204819277108,NA,NA,NA,NA
"82","C:\My\studies\UIT\FLA\code\English\Belfast\David\020721.cha","020721.cha","eng","David","CHI","1sg",NA,NA,NA,NA,NA,NA,NA,0.0873493975903614,NA,NA,NA,NA
"83","C:\My\studies\UIT\FLA\code\English\Belfast\David\020721.cha","020721.cha","eng","David","CHI","2",NA,NA,NA,NA,NA,NA,NA,0.0150602409638554,NA,NA,NA,NA
"84","C:\My\studies\UIT\FLA\code\English\Belfast\David\020721.cha","020721.cha","eng","David","CHI","3",NA,NA,NA,NA,NA,NA,NA,0.162650602409639,NA,NA,NA,NA
"85","C:\My\studies\UIT\FLA\code\English\Belfast\David\020721.cha","020721.cha","eng","David","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,0.0120481927710843,NA,NA,NA,NA
"86","C:\My\studies\UIT\FLA\code\English\Belfast\David\020721.cha","020721.cha","eng","David","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"87","C:\My\studies\UIT\FLA\code\English\Belfast\David\020721.cha","020721.cha","eng","David","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"88","C:\My\studies\UIT\FLA\code\English\Belfast\David\020721.cha","020721.cha","eng","David","CHI","3sgN",NA,NA,NA,NA,NA,NA,NA,0.150602409638554,NA,NA,NA,NA
"89","C:\My\studies\UIT\FLA\code\English\Belfast\David\020824.cha","020824.cha","eng","David","CHI","1pl",NA,NA,NA,NA,NA,NA,NA,NA,0.0173410404624277,NA,NA,NA
"90","C:\My\studies\UIT\FLA\code\English\Belfast\David\020824.cha","020824.cha","eng","David","CHI","1sg",NA,NA,NA,NA,NA,NA,NA,NA,0.0568400770712909,NA,NA,NA
"91","C:\My\studies\UIT\FLA\code\English\Belfast\David\020824.cha","020824.cha","eng","David","CHI","2",NA,NA,NA,NA,NA,NA,NA,NA,0.046242774566474,NA,NA,NA
"92","C:\My\studies\UIT\FLA\code\English\Belfast\David\020824.cha","020824.cha","eng","David","CHI","3",NA,NA,NA,NA,NA,NA,NA,NA,0.0741811175337187,NA,NA,NA
"93","C:\My\studies\UIT\FLA\code\English\Belfast\David\020824.cha","020824.cha","eng","David","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,NA,0.00674373795761079,NA,NA,NA
"94","C:\My\studies\UIT\FLA\code\English\Belfast\David\020824.cha","020824.cha","eng","David","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,NA,0.00289017341040462,NA,NA,NA
"95","C:\My\studies\UIT\FLA\code\English\Belfast\David\020824.cha","020824.cha","eng","David","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,NA,0.00578034682080925,NA,NA,NA
"96","C:\My\studies\UIT\FLA\code\English\Belfast\David\020824.cha","020824.cha","eng","David","CHI","3sgN",NA,NA,NA,NA,NA,NA,NA,NA,0.058766859344894,NA,NA,NA
"97","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020428.cha","020428.cha","eng","Michelle","CHI","1pl",NA,NA,NA,NA,0.00483091787439614,NA,NA,NA,NA,NA,NA,NA
"98","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020428.cha","020428.cha","eng","Michelle","CHI","1sg",NA,NA,NA,NA,0.0821256038647343,NA,NA,NA,NA,NA,NA,NA
"99","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020428.cha","020428.cha","eng","Michelle","CHI","2",NA,NA,NA,NA,0.0144927536231884,NA,NA,NA,NA,NA,NA,NA
"100","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020428.cha","020428.cha","eng","Michelle","CHI","3",NA,NA,NA,NA,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA
"101","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020428.cha","020428.cha","eng","Michelle","CHI","3pl",NA,NA,NA,NA,0.00966183574879227,NA,NA,NA,NA,NA,NA,NA
"102","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020428.cha","020428.cha","eng","Michelle","CHI","3sgF",NA,NA,NA,NA,0.00483091787439614,NA,NA,NA,NA,NA,NA,NA
"103","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020428.cha","020428.cha","eng","Michelle","CHI","3sgM",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"104","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020428.cha","020428.cha","eng","Michelle","CHI","3sgN",NA,NA,NA,NA,0.0289855072463768,NA,NA,NA,NA,NA,NA,NA
"105","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020720.cha","020720.cha","eng","Michelle","CHI","1pl",NA,NA,NA,NA,NA,NA,NA,0.00204081632653061,NA,NA,NA,NA
"106","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020720.cha","020720.cha","eng","Michelle","CHI","1sg",NA,NA,NA,NA,NA,NA,NA,0.0816326530612245,NA,NA,NA,NA
"107","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020720.cha","020720.cha","eng","Michelle","CHI","2",NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,NA,NA
"108","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020720.cha","020720.cha","eng","Michelle","CHI","3",NA,NA,NA,NA,NA,NA,NA,0.122448979591837,NA,NA,NA,NA
"109","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020720.cha","020720.cha","eng","Michelle","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,0.0163265306122449,NA,NA,NA,NA
"110","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020720.cha","020720.cha","eng","Michelle","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,0.00612244897959184,NA,NA,NA,NA
"111","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020720.cha","020720.cha","eng","Michelle","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"112","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020720.cha","020720.cha","eng","Michelle","CHI","3sgN",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA
"113","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020726.cha","020726.cha","eng","Michelle","CHI","1pl",NA,NA,NA,NA,NA,NA,NA,0.0101351351351351,NA,NA,NA,NA
"114","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020726.cha","020726.cha","eng","Michelle","CHI","1sg",NA,NA,NA,NA,NA,NA,NA,0.0709459459459459,NA,NA,NA,NA
"115","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020726.cha","020726.cha","eng","Michelle","CHI","2",NA,NA,NA,NA,NA,NA,NA,0.0596846846846847,NA,NA,NA,NA
"116","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020726.cha","020726.cha","eng","Michelle","CHI","3",NA,NA,NA,NA,NA,NA,NA,0.0990990990990991,NA,NA,NA,NA
"117","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020726.cha","020726.cha","eng","Michelle","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,0.0191441441441441,NA,NA,NA,NA
"118","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020726.cha","020726.cha","eng","Michelle","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,0.00337837837837838,NA,NA,NA,NA
"119","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020726.cha","020726.cha","eng","Michelle","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,0.00112612612612613,NA,NA,NA,NA
"120","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\020726.cha","020726.cha","eng","Michelle","CHI","3sgN",NA,NA,NA,NA,NA,NA,NA,0.0754504504504505,NA,NA,NA,NA
"121","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021014.cha","021014.cha","eng","Michelle","CHI","1pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00657894736842105,NA
"122","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021014.cha","021014.cha","eng","Michelle","CHI","1sg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111842105263158,NA
"123","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021014.cha","021014.cha","eng","Michelle","CHI","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0131578947368421,NA
"124","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021014.cha","021014.cha","eng","Michelle","CHI","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111842105263158,NA
"125","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021014.cha","021014.cha","eng","Michelle","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0394736842105263,NA
"126","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021014.cha","021014.cha","eng","Michelle","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00657894736842105,NA
"127","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021014.cha","021014.cha","eng","Michelle","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"128","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021014.cha","021014.cha","eng","Michelle","CHI","3sgN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0657894736842105,NA
"129","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021026.cha","021026.cha","eng","Michelle","CHI","1pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00069589422407794,NA
"130","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021026.cha","021026.cha","eng","Michelle","CHI","1sg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0661099512874043,NA
"131","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021026.cha","021026.cha","eng","Michelle","CHI","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0946416144745999,NA
"132","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021026.cha","021026.cha","eng","Michelle","CHI","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0556715379262352,NA
"133","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021026.cha","021026.cha","eng","Michelle","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00417536534446764,NA
"134","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021026.cha","021026.cha","eng","Michelle","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00417536534446764,NA
"135","C:\My\studies\UIT\FLA\code\English\Belfast\Michelle\021026.cha","021026.cha","eng","Michelle","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00487125956854558,NA
